1+X技能认证培训（千锋出品）,其他,259:02:47,4384,21,2019/10/14,千锋教育,http://www.bilibili.com/video/av71172217?from=search&seid=13896842341000276595
千锋教育-成都HTML51704期学员-谢航-薪资10K,h5,5:02,1,0,2018/5/28,aoudenu865,http://www.bilibili.com/video/av24058093?from=search&seid=13896842341000276595
2019千锋Python最新Swiper项目从入门到实战,python,44:25:39,205,0,2019/11/27,程序员手札,http://www.bilibili.com/video/av77255754?from=search&seid=13896842341000276595
2019最新Django全套教程【千锋Python】,python,64:52:42,34000,902,2019/7/2,千锋教育,http://www.bilibili.com/video/av57516522?from=search&seid=13896842341000276595
2019最新Vue从入门到大神【千锋Web前端】,h5,28:28:34,7720,89,2019/7/12,千锋教育,http://www.bilibili.com/video/av58940746?from=search&seid=13896842341000276595
千锋大数据教程：2、spark任务提交流程-1,大数据,5:50,1,0,2018/6/13,哦哦YY666,http://www.bilibili.com/video/av24806140?from=search&seid=13896842341000276595
2019最新nodeJS从入门到大神【千锋Web前端】,h5,17:05:21,21000,431,2019/5/29,千锋教育,http://www.bilibili.com/video/av53978941?from=search&seid=13896842341000276595
2019千锋Web前端：Vue实战项目之喵喵电影,h5,13:25:46,30000,513,2019/3/28,千锋教育,http://www.bilibili.com/video/av47535390?from=search&seid=13896842341000276595
（高级）2019最新immutable.js持久化数据结构【千锋Web前端】（11集）,h5,3:44:27,6,0,2019/12/3,佐藤Edward,http://www.bilibili.com/video/av77947033?from=search&seid=13896842341000276595
千锋教育ThinkPHP5.0框架全方位解读与实战,其他,6:40:37,63000,861,2017/9/29,千锋教育,http://www.bilibili.com/video/av14886835?from=search&seid=13896842341000276595
【千锋Java】SSM框架从入门到实战（6集）,java,1:49:34,156,0,2019/11/28,张奇MAX,http://www.bilibili.com/video/av77317928?from=search&seid=13896842341000276595
千锋深圳：eclipse快速入门,其他,3:45,3,0,2019/11/6,千锋深圳13371496642,http://www.bilibili.com/video/av74718379?from=search&seid=13896842341000276595
千锋大数据教程：7、特质、抽象类、继承、重写、实现等-1,大数据,20:02,3,0,2018/6/13,哦哦YY666,http://www.bilibili.com/video/av24770837?from=search&seid=13896842341000276595
千锋扣丁学堂html5视频教程-scale,h5,1:35,2,0,2019/8/26,扣丁学堂,http://www.bilibili.com/video/av65444498?from=search&seid=13896842341000276595
千锋软件测试教程：从入门到精通大全集,其他,95:18:39,14000,40,2019/1/2,技术宅子,http://www.bilibili.com/video/av39744588?from=search&seid=13896842341000276595
千锋：Linux从入门到精通（小白必看）,其他,63:08:15,42000,563,2019/3/17,千锋教育,http://www.bilibili.com/video/av46511437?from=search&seid=13896842341000276595
千锋大数据教程：8、clientactor向master注册任务信息过程-1,大数据,7:33,1,0,2018/6/18,aoudenu865,http://www.bilibili.com/video/av25144348?from=search&seid=13896842341000276595
千锋教育扣丁学堂HTML5视频教程-布局模型及定位技术的应用,h5,15:36,4,0,2019/9/6,扣丁学堂,http://www.bilibili.com/video/av66800961?from=search&seid=13896842341000276595
网络安全课程新手入门必看【2019千锋】,其他,13:17:04,18000,190,2019/4/7,千锋教育,http://www.bilibili.com/video/av48643833?from=search&seid=13896842341000276595
2019年千锋Python全套视频教程，史上最经典,python,82:57:27,9693,48,2019/10/4,程序员小草帽,http://www.bilibili.com/video/av70022614?from=search&seid=13896842341000276595
千锋扣丁学堂HTML5视频教程-自定义指令,h5,20:06,5,0,2019/8/15,扣丁学堂,http://www.bilibili.com/video/av63829873?from=search&seid=15734302584906548247
【2019千锋Python】最新Tornado框架实战教程,python,15:15:32,241,0,2019/11/27,程序员手札,http://www.bilibili.com/video/av77234450?from=search&seid=15734302584906548247
2019React教程+实战全集【千锋Web前端】,h5,30:05:18,7597,67,2019/6/16,千锋教育,http://www.bilibili.com/video/av55814626?from=search&seid=15734302584906548247
千锋大数据教程：7、通过structtype直接指定schema-1,大数据,12:11,5,0,2018/6/13,哦哦YY666,http://www.bilibili.com/video/av24810245?from=search&seid=15734302584906548247
2019千锋Java入门教程+学习资料【完结】,java,116:45:57,14000,24,2019/5/6,千锋教育,http://www.bilibili.com/video/av51587032?from=search&seid=15734302584906548247
千锋扣丁学堂HTML5视频教程-练习-创建view,h5,3:49,4,0,2019/8/16,扣丁学堂,http://www.bilibili.com/video/av63978502?from=search&seid=15734302584906548247
